@relation 'train_bal_main_finantial_metrics-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.unsupervised.attribute.NumericToNominal-R1-3-weka.filters.unsupervised.attribute.NumericToNominal-R1-3,44,46-weka.filters.unsupervised.attribute.NumericToNominal-R1-3,44,46'

@attribute sector {0,1,2,3,4,5,6,7,8,9,10}
@attribute In_SP500 {0,1}
@attribute In_NASDAQ {0,1}
@attribute currentPrice numeric
@attribute allTimeHigh numeric
@attribute allTimeLow numeric
@attribute beta numeric
@attribute averageVolume numeric
@attribute marketCap numeric
@attribute enterpriseValue numeric
@attribute priceToBook numeric
@attribute enterpriseToRevenue numeric
@attribute profitMargins numeric
@attribute grossMargins numeric
@attribute ebitdaMargins numeric
@attribute operatingMargins numeric
@attribute returnOnAssets numeric
@attribute returnOnEquity numeric
@attribute totalRevenue numeric
@attribute revenuePerShare numeric
@attribute grossProfits numeric
@attribute ebitda numeric
@attribute netIncomeToCommon numeric
@attribute trailingEps numeric
@attribute totalCash numeric
@attribute totalCashPerShare numeric
@attribute totalDebt numeric
@attribute quickRatio numeric
@attribute currentRatio numeric
@attribute bookValue numeric
@attribute operatingCashflow numeric
@attribute freeCashflow numeric
@attribute trailingAnnualDividendYield numeric
@attribute payoutRatio numeric
@attribute sharesOutstanding numeric
@attribute floatShares numeric
@attribute sharesShort numeric
@attribute sharesPercentSharesOut numeric
@attribute shortRatio numeric
@attribute shortPercentOfFloat numeric
@attribute heldPercentInsiders numeric
@attribute heldPercentInstitutions numeric
@attribute fullTimeEmployees numeric
@attribute is_Insolvent {0}
@attribute _debtToEquity numeric
@attribute has_benefits {0,1}
@attribute _PER numeric
@attribute target {0,1,2,3,4}

@data
9,1,0,903.6,1198.09,22.62,0.923,1581453,187514175488,183791173632,17.152618,15.244,0.13776,0.78519,0.19026,0.12068,0.05167,0.16951,12056999936,58.347,9466999808,2294000128,1660999936,7.95,6131999744,29.549,2408999936,0.921,1.092,52.68,4698999808,3972624896,0,0,207519000,206944172,2877539,0.0139,2.05,0.0139,0.00192,0.91138,26293,0,45728928.170084,0,113.660377,1
3,0,0,12.23,30.09,9.55,1.028,888182,1054249216,2700549376,1.440858,1.895,0.01275,0.34761,0.0814,0.01991,0.00934,0.01346,1425380992,16.898,495476992,116024000,18174000,0.21,54600000,0.633,1054200000,0.712,1.288,8.488,102466000,20957750,0.009732,1.1524,86201901,67093526,6509655,0.0755,7.56,0.1339,0.18163,0.96105,3000,0,124198868.991517,0,58.238095,2
8,0,0,19.02,26.925,13.42,0.889,1338200,1831870592,2527164416,1.205782,14.06,-0.03187,0.89469,0.78712,0.34685,0.0165,-0.00436,179740000,2.227,160811008,141476992,-5728000,-0.08,9871000,0.118,942547008,1.464,4.658,15.774,105873000,93169624,0.044164,10.25,95887898,82975437,14799796,0.1543,11.56,0.1696,0.00578,1.24581,22,0,59753201.977938,1,0,1
9,1,0,144.52,725.4,13.25,1.655,768134,8049317376,7171246080,2.194552,1.414,0.07911,0.30075,0.1409,0.09633,0.08486,0.11354,5071012864,89.43,1525086976,714510016,401152992,7.01,1041344000,18.697,162691008,2.964,3.172,65.854,449580992,540610112,0,0,55696909,53789290,1997104,0.0359,2.23,0.0425,0.03589,0.9568,62050,0,2470480.274547,0,20.616262,1
7,1,0,290.21,582.27,0.855967,1.104,518082,10830058496,12299763712,8.335535,2.331,0.07786,0.29455,0.12018,0.1528,0.10037,0.30175,5276414976,140.302,1554177024,634118016,408775008,10.85,83669000,2.242,1553373952,0.817,2.516,34.816,485540000,333340256,0.016714,0.4474,37318008,32654003,3039555,0.0815,5.48,0.096,0.12573,1.03013,6000,0,44616669.117647,0,26.747465,3
6,1,0,268.09,301.34,0.609375,0.833,1024420,39125250048,38894718976,6.575991,7.558,0.27218,0.59986,0.3615,0.3387,0.14018,0.25863,5146327040,35.077,3087086080,1860397056,1400722944,9.52,1209449984,8.26,851812992,2.159,3.44,40.768,1751587968,1207525632,0.007852,0.2229,145940728,145477784,8806208,0.0603,9.31,0.0695,0.00621,0.65117,10600,0,20894156.985871,0,28.160714,2
8,0,0,32.79,44.07,13.16,0.755,2429071,13846801408,17694011392,1.697381,9.839,0.23716,0.55857,0.51203,0.24787,0.01995,0.0622,1798427008,4.869,1004545024,920854016,411252000,1.11,323257984,0.872,5174689792,0.651,2.175,19.318,831016000,601558656,0.034314,1.009,370275288,319205458,7899616,0.0213,2.56,0.0305,0.07745,0.91257,1730,0,267868816.233565,0,29.540541,2
0,0,0,271.7,347.44,2.333333,0.865,366370,14289666048,15792465920,1.975296,1.153,0.0539,0.29422,0.09605,0.08703,0.06197,0.09956,13691400192,255.379,4028300032,1315000064,737900032,13.8,239500000,4.554,1732300032,1.418,3.185,137.549,1230700032,642524992,0.017086,0.3331,52593543,52264307,909223,0.0173,2.85,0.0232,0.00377,0.83446,15900,0,12594057.623102,0,19.688406,2
2,0,0,40.03,69.83,1.37987,0.663,1050051,3948201728,9382265856,1.220241,1.48,0.0877,0.21564,0.17171,0.10057,0.04199,0.03254,6337596928,64.098,1366636032,1088253952,93112000,0.94,329800000,3.344,5748554752,0.659,1.253,32.805,543702976,432245632,0.052042,2.2234,98631072,97433691,3782236,0.0383,3.4,0.0496,0.00928,0.84404,23400,0,175234103.094041,0,42.585106,2
2,0,0,61.91,89.7,2.6875,1.399,1404381,4009581568,5643349504,1.027484,0.863,0.07916,0.20485,0.10888,0.0933,0.0611,0.13128,6541734912,93.176,1340096000,712249984,514470016,7.11,330585984,5.104,1964354048,0.556,4.891,60.254,394480992,258929120,0.016308,0.1406,64764685,61941592,6024908,0.093,4,0.1384,0.03771,1.08104,2384,0,32601222.292296,0,8.707454,4
7,0,0,25.25,28.58,1.48,1.174,1171270,3946411264,4053511168,4.247266,2.901,0.10672,0.34901,0.20865,0.19642,0.09207,0.17331,1397100032,8.936,487600000,291500000,149100000,0.94,372000000,2.38,479100000,2.397,3.862,5.945,225100000,158287504,0.010604,0.2819,156293515,154491451,3147475,0.0201,2.61,0.0227,0.01607,1.03509,3400,0,80588730.025231,0,26.861702,3
9,1,0,128.74,216,20,0.978,1798735,17823928320,20550725632,44.210167,4.325,0.17014,0.63974,0.24526,0.21871,0.0812,2.8803,4752099840,33.847,3040100096,1165500032,808499968,5.6,1154899968,8.342,3881700096,0.42,0.637,2.912,1480300032,1225512448,0,0,138449017,137532485,7447072,0.0538,4.78,0.0703,0.00662,0.97428,5518,0,1333001406.593407,0,22.989286,2
7,1,0,69.71,92.45,0.541667,1.303,1142325,9768433664,19691866112,5.291885,5.195,0.13683,0.38201,0.20265,0.2035,0.13332,0.27603,3790200064,26.342,1447900032,768099968,518600000,3.59,177900000,0.635,332900000,0.971,1.647,13.173,596099968,412337504,0.019319,0.3733,114259519,226059841,2100345,0.015,2.04,0.0185,0.00772,0.98898,12700,0,25271388.446064,0,19.417827,3
9,0,0,7.05,51.38,0.288446,1.097,419425,248280864,479780864,0.360817,0.466,-0.053,0.15833,0.04563,0.00832,-0.00576,-0.07623,1030099968,29.167,163100000,47000000,-54600000,-1.54,121100000,3.439,352600000,1.559,2.501,19.539,40600000,41037500,0.066667,0.3636,35217142,34751571,1361366,0.0387,2.74,0.0458,0.0365,0.93597,6500,0,18045959.363325,1,0,3
9,1,1,152.87,199.675,27.55,1.214,4899590,53312663552,50666123264,16.67612,16.799,0.04131,0.79941,0.00987,-0.04294,-0.00223,0.04447,3016056064,8.824,2411053056,29783000,124580000,0.37,3910970112,11.214,1264427008,3.337,3.432,9.167,965505024,823317376,0,0,323270704,321138462,13239993,0.038,3.17,0.0416,0.00832,0.88443,6500,0,137932476.055416,0,413.162162,1
